"dataHora","temp_min","temp_value","temp_max","ram_min","ram_value","ram_max"
"2023-10-16 13:27:46",32.1,50.0,67.0,4.7,5.5,5.7
"2023-10-16 13:27:47",32.1,50.4,67.0,4.7,5.5,5.7
"2023-10-16 13:27:48",32.1,50.1,67.0,4.7,5.5,5.7
"2023-10-16 13:27:49",32.1,49.6,67.0,4.7,5.5,5.7
"2023-10-16 13:27:50",32.1,49.0,67.0,4.7,5.5,5.7
"2023-10-16 13:27:51",32.1,49.0,67.0,4.7,5.5,5.7
"2023-10-16 13:27:52",32.1,49.0,67.0,4.7,5.5,5.7
"2023-10-16 13:27:53",32.1,48.9,67.0,4.7,5.5,5.7
"2023-10-16 13:27:54",32.1,48.9,67.0,4.7,5.5,5.7
"2023-10-16 13:27:55",32.1,48.6,67.0,4.7,5.5,5.7
"2023-10-16 13:27:56",32.1,48.3,67.0,4.7,5.5,5.7
"2023-10-16 13:27:57",32.1,47.9,67.0,4.7,5.5,5.7
"2023-10-16 13:27:58",32.1,47.6,67.0,4.7,5.5,5.7
"2023-10-16 13:27:59",32.1,47.4,67.0,4.7,5.5,5.7
"2023-10-16 13:28:00",32.1,47.3,67.0,4.7,5.5,5.7
"2023-10-16 13:28:01",32.1,47.0,67.0,4.7,5.5,5.7
"2023-10-16 13:28:02",32.1,47.5,67.0,4.7,5.5,5.7
"2023-10-16 13:28:03",32.1,47.3,67.0,4.7,5.5,5.7
"2023-10-16 13:28:04",32.1,47.0,67.0,4.7,5.5,5.7
"2023-10-16 13:28:05",32.1,46.8,67.0,4.7,5.4,5.7
"2023-10-16 13:28:06",32.1,46.5,67.0,4.7,5.4,5.7
"2023-10-16 13:28:07",32.1,46.3,67.0,4.7,5.4,5.7
"2023-10-16 13:28:09",32.1,46.1,67.0,4.7,5.4,5.7
"2023-10-16 13:28:10",32.1,46.6,67.0,4.7,5.3,5.7
"2023-10-16 13:28:11",32.1,46.8,67.0,4.7,5.3,5.7
"2023-10-16 13:28:12",32.1,46.1,67.0,4.7,5.2,5.7
"2023-10-16 13:28:13",32.1,45.8,67.0,4.7,5.2,5.7
"2023-10-16 13:28:14",32.1,45.8,67.0,4.7,5.2,5.7
"2023-10-16 13:28:15",32.1,45.8,67.0,4.7,5.2,5.7
"2023-10-16 13:28:16",32.1,45.8,67.0,4.7,5.2,5.7
"2023-10-16 13:28:17",32.1,45.9,67.0,4.7,5.2,5.7
"2023-10-16 13:28:18",32.1,45.8,67.0,4.7,5.2,5.7
"2023-10-16 13:28:19",32.1,45.5,67.0,4.7,5.2,5.7
"2023-10-16 13:28:20",32.1,45.5,67.0,4.7,5.3,5.7
"2023-10-16 13:28:21",32.1,46.8,67.0,4.7,5.2,5.7
"2023-10-16 13:28:22",32.1,47.5,67.0,4.7,5.3,5.7
"2023-10-16 13:28:23",32.1,47.5,67.0,4.7,5.3,5.7
"2023-10-16 13:28:24",32.1,46.3,67.0,4.7,5.3,5.7
"2023-10-16 13:28:25",32.1,46.0,67.0,4.7,5.3,5.7
"2023-10-16 13:28:26",32.1,45.8,67.0,4.7,5.3,5.7
"2023-10-16 13:28:27",32.1,45.8,67.0,4.7,5.3,5.7
"2023-10-16 13:28:28",32.1,45.4,67.0,4.7,5.3,5.7
"2023-10-16 13:28:30",32.1,46.1,67.0,4.7,5.2,5.7
"2023-10-16 13:28:31",32.1,46.5,67.0,4.7,5.2,5.7
"2023-10-16 13:28:32",32.1,46.8,67.0,4.7,5.1,5.7
"2023-10-16 13:28:33",32.1,46.4,67.0,4.7,5.1,5.7
"2023-10-16 13:28:34",32.1,46.4,67.0,4.7,5.1,5.7
"2023-10-16 13:28:35",32.1,46.3,67.0,4.7,5.1,5.7
"2023-10-16 13:28:36",32.1,46.3,67.0,4.7,5.1,5.7
"2023-10-16 13:28:37",32.1,46.3,67.0,4.7,5.1,5.7
"2023-10-16 13:28:38",32.1,46.5,67.0,4.7,5.1,5.7
"2023-10-16 13:28:39",32.1,47.1,67.0,4.7,5.1,5.7
"2023-10-16 13:28:40",32.1,46.8,67.0,4.7,5.1,5.7
"2023-10-16 13:28:41",32.1,46.8,67.0,4.7,5.1,5.7
"2023-10-16 13:28:42",32.1,46.8,67.0,4.7,5.1,5.7
"2023-10-16 13:28:43",32.1,46.5,67.0,4.7,5.1,5.7
"2023-10-16 13:28:44",32.1,46.0,67.0,4.7,5.1,5.7
"2023-10-16 13:28:45",32.1,46.0,67.0,4.7,5.1,5.7
"2023-10-16 13:28:46",32.1,46.3,67.0,4.7,5.1,5.7
"2023-10-16 13:28:47",32.1,46.3,67.0,4.7,5.1,5.7
"2023-10-16 13:28:48",32.1,46.4,67.0,4.7,5.1,5.7
"2023-10-16 13:28:49",32.1,46.3,67.0,4.7,5.1,5.7
"2023-10-16 13:28:50",32.1,45.5,67.0,4.7,5.1,5.7
"2023-10-16 13:28:51",32.1,45.6,67.0,4.7,5.1,5.7
"2023-10-16 13:28:52",32.1,46.3,67.0,4.7,5.1,5.7
"2023-10-16 13:28:54",32.1,47.4,67.0,4.7,5.1,5.7
"2023-10-16 13:28:55",32.1,47.4,67.0,4.7,5.1,5.7
"2023-10-16 13:28:56",32.1,47.4,67.0,4.7,5.1,5.7
"2023-10-16 13:28:57",32.1,46.8,67.0,4.7,5.1,5.7
"2023-10-16 13:28:58",32.1,46.3,67.0,4.7,5.1,5.7
"2023-10-16 13:28:59",32.1,46.0,67.0,4.7,5.1,5.7
"2023-10-16 13:29:00",32.1,46.6,67.0,4.7,5.1,5.7
"2023-10-16 13:29:01",32.1,46.3,67.0,4.7,5.1,5.7
"2023-10-16 13:29:02",32.1,46.3,67.0,4.7,5.1,5.7
"2023-10-16 13:29:03",32.1,46.3,67.0,4.7,5.1,5.7
"2023-10-16 13:29:04",32.1,46.0,67.0,4.7,5.1,5.7
"2023-10-16 13:29:05",32.1,45.4,67.0,4.7,5.1,5.7
"2023-10-16 13:29:06",32.1,45.4,67.0,4.7,5.1,5.7
"2023-10-16 13:29:07",32.1,45.8,67.0,4.7,5.1,5.7
"2023-10-16 13:29:08",32.1,45.4,67.0,4.7,5.1,5.7
"2023-10-16 13:29:09",32.1,45.0,67.0,4.7,5.1,5.7
"2023-10-16 13:29:10",32.1,44.8,67.0,4.7,5.2,5.7
"2023-10-16 13:29:11",32.1,45.0,67.0,4.7,5.2,5.7
